Started Kafka consumer, listening on topic: candles.close
Received candle close event: WLFIUSDT 1m at 1770948899999
Received candle close event: WLFIUSDT 15m at 1770948899999
Received candle close event: WLFIUSDT 5m at 1770948899999
Received candle close event: TRXUSDT 15m at 1770948899999
Received candle close event: TRXUSDT 5m at 1770948899999
Received candle close event: TRXUSDT 1m at 1770948899999
Received candle close event: XPLUSDT 5m at 1770948899999
Received candle close event: XPLUSDT 1m at 1770948899999
Received candle close event: XPLUSDT 15m at 1770948899999
Received candle close event: SIRENUSDT 1m at 1770948959999
Received candle close event: KITEUSDT 1m at 1770948959999
Received candle close event: ESPUSDT 1m at 1770948959999
Received candle close event: XRPUSDT 1m at 1770948959999
Received candle close event: POWERUSDT 1m at 1770948959999
Received candle close event: BTRUSDT 1m at 1770948959999
Received candle close event: BERAUSDT 1m at 1770948959999
Received candle close event: TNSRUSDT 1m at 1770948959999
Received candle close event: MEUSDT 1m at 1770948959999
Received candle close event: HYPEUSDT 1m at 1770948959999
Received candle close event: BTCUSDT 1m at 1770948959999
Received candle close event: PIPPINUSDT 1m at 1770948959999
Received candle close event: TAKEUSDT 1m at 1770948959999
Received candle close event: AZTECUSDT 1m at 1770948959999
Received candle close event: ZECUSDT 1m at 1770948959999
Received candle close event: AAVEUSDT 1m at 1770948959999
Received candle close event: SOLUSDT 1m at 1770948959999
Received candle close event: ETHUSDT 1m at 1770948959999
Received candle close event: CLOUSDT 1m at 1770948959999
Received candle close event: AXSUSDT 1m at 1770948959999
Received candle close event: RIVERUSDT 1m at 1770948959999
Received candle close event: TOSHIUSDT 1m at 1770948959999
Received candle close event: TAOUSDT 1m at 1770948959999
Received candle close event: 1000PEPEUSDT 1m at 1770948959999
Received candle close event: ENAUSDT 1m at 1770948959999
Received candle close event: BNBUSDT 1m at 1770948959999
Received candle close event: DOGEUSDT 1m at 1770948959999
Received candle close event: MOVEUSDT 1m at 1770948959999
Received candle close event: ZROUSDT 1m at 1770948959999
Received candle close event: ADAUSDT 1m at 1770948959999
Received candle close event: ZAMAUSDT 1m at 1770948959999
Received candle close event: MOODENGUSDT 1m at 1770948959999
Received candle close event: UNIUSDT 1m at 1770948959999
Received candle close event: FHEUSDT 1m at 1770948959999
Received candle close event: MYXUSDT 1m at 1770948959999
Received candle close event: AVAXUSDT 1m at 1770948959999
Received candle close event: ARCUSDT 1m at 1770948959999
Received candle close event: ARBUSDT 1m at 1770948959999
Received candle close event: BCHUSDT 1m at 1770948959999
Received candle close event: LTCUSDT 1m at 1770948959999
Received candle close event: HBARUSDT 1m at 1770948959999
Received candle close event: VIRTUALUSDT 1m at 1770948959999
Received candle close event: ASTERUSDT 1m at 1770948959999
Received candle close event: 0GUSDT 1m at 1770948959999
Received candle close event: WIFUSDT 1m at 1770948959999
